Var1,Var2,PIP,trial,df,case
3,5,0,28,3,1
4,5,0.008,28,3,1
1,6,0,28,3,1
2,6,0,28,3,1
3,6,0,28,3,1
4,6,8e-4,28,3,1
5,6,0,28,3,1
1,7,0,28,3,1
2,7,3.1999999999999997e-4,28,3,1
3,7,6.399999999999999e-4,28,3,1
4,7,4.8e-4,28,3,1
5,7,4.8e-4,28,3,1
6,7,0,28,3,1
1,8,0,28,3,1
2,8,6.399999999999999e-4,28,3,1
3,8,0,28,3,1
4,8,1.5999999999999999e-4,28,3,1
5,8,0,28,3,1
6,8,0,28,3,1
7,8,0.0024,28,3,1
1,9,0,28,3,1
2,9,1.5999999999999999e-4,28,3,1
3,9,0,28,3,1
4,9,0.00208,28,3,1
5,9,1,28,3,1
6,9,0,28,3,1
7,9,0,28,3,1
8,9,0.03696,28,3,1
1,10,0,28,3,1
2,10,9.6e-4,28,3,1
3,10,0.004,28,3,1
4,10,0.00336,28,3,1
5,10,0.00256,28,3,1
6,10,3.1999999999999997e-4,28,3,1
7,10,0.364,28,3,1
8,10,0.01424,28,3,1
9,10,0.03504,28,3,1
1,2,0,29,3,1
1,3,0,29,3,1
2,3,0,29,3,1
1,4,0,29,3,1
2,4,0,29,3,1
3,4,0,29,3,1
1,5,0,29,3,1
2,5,0,29,3,1
3,5,0,29,3,1
4,5,3.2e-4,29,3,1
1,6,0,29,3,1
2,6,0,29,3,1
3,6,0,29,3,1
4,6,0,29,3,1
5,6,0,29,3,1
1,7,0,29,3,1
2,7,0,29,3,1
3,7,0,29,3,1
4,7,0,29,3,1
5,7,0,29,3,1
6,7,0,29,3,1
1,8,0,29,3,1
2,8,0,29,3,1
3,8,0,29,3,1
4,8,0,29,3,1
5,8,0,29,3,1
6,8,0,29,3,1
7,8,0,29,3,1
1,9,0,29,3,1
2,9,1.6e-4,29,3,1
3,9,0,29,3,1
4,9,0,29,3,1
5,9,0,29,3,1
6,9,0,29,3,1
7,9,0,29,3,1
8,9,1.5999999999999999e-4,29,3,1
1,10,0,29,3,1
2,10,0,29,3,1
3,10,0,29,3,1
4,10,0,29,3,1
5,10,9.6e-4,29,3,1
6,10,0,29,3,1
7,10,0,29,3,1
8,10,0,29,3,1
9,10,0.00112,29,3,1
1,2,0,2,4,1
1,3,0,2,4,1
2,3,0,2,4,1
1,4,0,2,4,1
2,4,0,2,4,1
3,4,0,2,4,1
1,5,0,2,4,1
2,5,0,2,4,1
3,5,0,2,4,1
4,5,0.50064,2,4,1
1,6,0,2,4,1
2,6,0,2,4,1
3,6,0,2,4,1
4,6,0,2,4,1
5,6,0,2,4,1
1,7,0,2,4,1
2,7,0,2,4,1
3,7,0,2,4,1
4,7,0,2,4,1
5,7,0,2,4,1
6,7,0,2,4,1
1,8,0,2,4,1
2,8,0,2,4,1
3,8,0,2,4,1
4,8,0,2,4,1
5,8,0,2,4,1
6,8,0,2,4,1
7,8,0,2,4,1
1,9,0,2,4,1
2,9,0,2,4,1
3,9,0,2,4,1
4,9,0,2,4,1
5,9,0,2,4,1
6,9,0,2,4,1
7,9,0,2,4,1
8,9,0,2,4,1
1,10,0,2,4,1
2,10,0,2,4,1
3,10,0,2,4,1
4,10,1.6e-4,2,4,1
5,10,0,2,4,1
6,10,0,2,4,1
7,10,0,2,4,1
8,10,0,2,4,1
9,10,0,2,4,1
1,2,0,30,3,1
1,3,0,30,3,1
2,3,0,30,3,1
1,4,0,30,3,1
2,4,1.6e-4,30,3,1
3,4,0,30,3,1
1,5,0,30,3,1
2,5,0,30,3,1
3,5,1.6e-4,30,3,1
4,5,0,30,3,1
1,6,0,30,3,1
2,6,0,30,3,1
3,6,0,30,3,1
4,6,0,30,3,1
5,6,0,30,3,1
1,7,0,30,3,1
2,7,0,30,3,1
3,7,0,30,3,1
4,7,0,30,3,1
5,7,1.5999999999999999e-4,30,3,1
6,7,0,30,3,1
1,8,0,30,3,1
2,8,0,30,3,1
3,8,0,30,3,1
4,8,0,30,3,1
