variable,PIP,race,trial,case
Mo,0.47908,4,23,1
Sb,0.85092,4,23,1
Sn,0.64452,4,23,1
As,0.52948,5,23,1
Cd,0.3982,5,23,1
Co,0.42372,5,23,1
Hg,0.44976,5,23,1
Ni,0.66392,5,23,1
Tl,0.5194,5,23,1
Pb,0.62552,5,23,1
Mo,0.57504,5,23,1
Sb,0.835,5,23,1
Sn,0.56472,5,23,1
As,0.55488,6,23,1
Cd,0.64372,6,23,1
Co,0.593,6,23,1
Hg,0.63892,6,23,1
Ni,0.59672,6,23,1
Tl,0.63584,6,23,1
Pb,0.5376,6,23,1
Mo,0.54408,6,23,1
Sb,0.71896,6,23,1
Sn,0.60296,6,23,1
As,0.43272,1,24,1
Cd,0.42064,1,24,1
Co,0.51796,1,24,1
Hg,0.41024,1,24,1
Ni,0.46548,1,24,1
Tl,0.36696,1,24,1
Pb,0.40484,1,24,1
Mo,0.46664,1,24,1
Sb,0.4704,1,24,1
Sn,0.44644,1,24,1
As,0.3572,2,24,1
Cd,0.47024,2,24,1
Co,0.40264,2,24,1
Hg,0.75868,2,24,1
Ni,0.51792,2,24,1
Tl,0.58108,2,24,1
Pb,0.61512,2,24,1
Mo,0.4382,2,24,1
Sb,0.46676,2,24,1
Sn,0.4372,2,24,1
NA,NA,3,24,1
As,0.52072,4,24,1
Cd,0.51576,4,24,1
Co,0.47248,4,24,1
Hg,0.53292,4,24,1
Ni,0.84756,4,24,1
Tl,0.54804,4,24,1
Pb,0.52176,4,24,1
Mo,0.4828,4,24,1
Sb,0.7228,4,24,1
Sn,0.49764,4,24,1
As,0.41648,5,24,1
Cd,0.59412,5,24,1
Co,0.43072,5,24,1
Hg,0.81716,5,24,1
Ni,0.76636,5,24,1
Tl,0.5348,5,24,1
Pb,0.50728,5,24,1
Mo,0.78428,5,24,1
Sb,0.8664,5,24,1
Sn,0.9076,5,24,1
As,0.35456,6,24,1
Cd,0.44052,6,24,1
Co,0.44696,6,24,1
Hg,0.83548,6,24,1
Ni,0.43544,6,24,1
Tl,0.53728,6,24,1
Pb,0.49156,6,24,1
Mo,0.36016,6,24,1
Sb,0.53936,6,24,1
Sn,0.42664,6,24,1
As,0.5654,1,25,1
Cd,0.4844,1,25,1
Co,0.4956,1,25,1
Hg,0.48392,1,25,1
