variable,PIP,trial,case
Mo,0.0546,111,2
Sb,1,111,2
Sn,0.3272,111,2
As,0.03736,112,2
Cd,0.05076,112,2
Co,0.25232,112,2
Hg,1,112,2
Ni,1,112,2
Tl,0.09592,112,2
Pb,0.19888,112,2
Mo,0.79828,112,2
Sb,1,112,2
Sn,0.52736,112,2
As,0.10736,113,2
Cd,0.10624,113,2
Co,0.1594,113,2
Hg,1,113,2
Ni,1,113,2
Tl,0.26772,113,2
Pb,0.21996,113,2
Mo,0.1186,113,2
Sb,1,113,2
Sn,0.35356,113,2
As,0.5512,114,2
Cd,0.65204,114,2
Co,0.90816,114,2
Hg,1,114,2
Ni,1,114,2
Tl,0.71184,114,2
Pb,0.428,114,2
Mo,0.85276,114,2
Sb,1,114,2
Sn,0.9906,114,2
As,0.8782,115,2
Cd,0.55164,115,2
Co,0.52488,115,2
Hg,1,115,2
Ni,1,115,2
Tl,0.5534,115,2
Pb,0.50268,115,2
Mo,0.46928,115,2
Sb,1,115,2
Sn,0.99916,115,2
As,0.10556,116,2
Cd,0.01352,116,2
Co,0.02752,116,2
Hg,1,116,2
Ni,1,116,2
Tl,0.02492,116,2
Pb,0.03696,116,2
Mo,0.04328,116,2
Sb,1,116,2
Sn,0.99836,116,2
As,0.32464,117,2
Cd,0.06884,117,2
Co,0.13248,117,2
Hg,1,117,2
Ni,1,117,2
Tl,0.19912,117,2
Pb,0.2438,117,2
Mo,0.14128,117,2
Sb,1,117,2
Sn,0.14808,117,2
As,0.13188,118,2
Cd,0.05396,118,2
Co,0.17328,118,2
Hg,1,118,2
Ni,1,118,2
Tl,0.05616,118,2
Pb,0.16528,118,2
Mo,0.06072,118,2
