mod,case,size,var,sign,sensitivity
Naive MLR,14,Small,HXC,FALSE,0.05
Naive MLR,14,Small,PCB,TRUE,0.11
Naive MLR,15,Large,074,TRUE,0.43
Naive MLR,15,Large,099,FALSE,0.01
Naive MLR,15,Large,118,FALSE,0.1
Naive MLR,15,Large,138,FALSE,0.02
Naive MLR,15,Large,153,FALSE,0.07
Naive MLR,15,Large,170,FALSE,0.06
Naive MLR,15,Large,180,FALSE,0.02
Naive MLR,15,Large,187,FALSE,0.11
Naive MLR,15,Large,194,TRUE,0.81
Naive MLR,15,Large,D03,FALSE,0.1
Naive MLR,15,Large,D05,TRUE,0.81
Naive MLR,15,Large,D07,FALSE,0.04
Naive MLR,15,Large,F03,FALSE,0.03
Naive MLR,15,Large,F04,TRUE,0.08
Naive MLR,15,Large,F05,FALSE,0.05
Naive MLR,15,Large,F08,FALSE,0.05
Naive MLR,15,Large,HXC,FALSE,0.06
Naive MLR,15,Large,PCB,TRUE,0.68
Naive MLR,15,Small,074,TRUE,0.09
Naive MLR,15,Small,099,FALSE,0.1
Naive MLR,15,Small,118,FALSE,0.09
Naive MLR,15,Small,138,FALSE,0.08
Naive MLR,15,Small,153,FALSE,0.05
Naive MLR,15,Small,170,FALSE,0.08
Naive MLR,15,Small,180,FALSE,0.06
Naive MLR,15,Small,187,FALSE,0.04
Naive MLR,15,Small,194,TRUE,0.22
Naive MLR,15,Small,D03,FALSE,0.08
Naive MLR,15,Small,D05,TRUE,0.25
Naive MLR,15,Small,D07,FALSE,0.04
Naive MLR,15,Small,F03,FALSE,0.03
Naive MLR,15,Small,F04,TRUE,0.07
Naive MLR,15,Small,F05,FALSE,0.03
Naive MLR,15,Small,F08,FALSE,0.07
Naive MLR,15,Small,HXC,FALSE,0.07
Naive MLR,15,Small,PCB,TRUE,0.21
Naive MLR,16,Large,074,TRUE,0.32
Naive MLR,16,Large,099,FALSE,0.06
Naive MLR,16,Large,118,FALSE,0.03
Naive MLR,16,Large,138,FALSE,0.02
Naive MLR,16,Large,153,FALSE,0.04
Naive MLR,16,Large,170,FALSE,0.07
Naive MLR,16,Large,180,FALSE,0.03
Naive MLR,16,Large,187,FALSE,0.04
Naive MLR,16,Large,194,TRUE,0.43
Naive MLR,16,Large,D03,FALSE,0.08
Naive MLR,16,Large,D05,TRUE,0.6
Naive MLR,16,Large,D07,FALSE,0.03
Naive MLR,16,Large,F03,FALSE,0.05
Naive MLR,16,Large,F04,TRUE,0.08
Naive MLR,16,Large,F05,FALSE,0.03
Naive MLR,16,Large,F08,FALSE,0.05
Naive MLR,16,Large,HXC,FALSE,0.03
Naive MLR,16,Large,PCB,TRUE,0.15
Naive MLR,16,Small,074,TRUE,0.17
Naive MLR,16,Small,099,FALSE,0.03
Naive MLR,16,Small,118,FALSE,0.03
Naive MLR,16,Small,138,FALSE,0.03
Naive MLR,16,Small,153,FALSE,0.04
Naive MLR,16,Small,170,FALSE,0.05
Naive MLR,16,Small,180,FALSE,0.08
Naive MLR,16,Small,187,FALSE,0.04
Naive MLR,16,Small,194,TRUE,0.12
Naive MLR,16,Small,D03,FALSE,0.04
Naive MLR,16,Small,D05,TRUE,0.12
Naive MLR,16,Small,D07,FALSE,0.07
Naive MLR,16,Small,F03,FALSE,0.05
Naive MLR,16,Small,F04,TRUE,0.04
Naive MLR,16,Small,F05,FALSE,0.06
Naive MLR,16,Small,F08,FALSE,0.06
Naive MLR,16,Small,HXC,FALSE,0.03
Naive MLR,16,Small,PCB,TRUE,0.04
Naive MLR,17,Large,074,TRUE,0.34
Naive MLR,17,Large,099,FALSE,0.05
Naive MLR,17,Large,118,FALSE,0.08
Naive MLR,17,Large,138,FALSE,0.02
Naive MLR,17,Large,153,FALSE,0.06
Naive MLR,17,Large,170,FALSE,0.07
Naive MLR,17,Large,180,FALSE,0.08
Naive MLR,17,Large,187,FALSE,0.05
Naive MLR,17,Large,194,TRUE,0.4
Naive MLR,17,Large,D03,FALSE,0.1
Naive MLR,17,Large,D05,TRUE,0.34
Naive MLR,17,Large,D07,FALSE,0.04
