Var1,Var2,PIP,trial,df,case
6,10,0,27,2,1
7,10,0,27,2,1
8,10,1.5999999999999999e-4,27,2,1
9,10,0.0022400000000000002,27,2,1
1,2,4.8e-4,28,2,1
1,3,1.6e-4,28,2,1
2,3,8e-4,28,2,1
1,4,8e-4,28,2,1
2,4,0.01344,28,2,1
3,4,0.0024,28,2,1
1,5,1.6e-4,28,2,1
2,5,0.00544,28,2,1
3,5,0.00176,28,2,1
4,5,0.00816,28,2,1
1,6,0,28,2,1
2,6,1.6e-4,28,2,1
3,6,0,28,2,1
4,6,3.1999999999999997e-4,28,2,1
5,6,1.6e-4,28,2,1
1,7,0,28,2,1
2,7,0,28,2,1
3,7,0,28,2,1
